ibm_serial,country_code,week_ending_date,work_item,sat,sun,mon,tue,wed,thu,fri
45329E,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
143C29,897,2022-09-30,D78E9909,0.0,0.0,6.0,6.0,6.0,6.0,6.0
143C29,897,2022-09-30,D78E9909,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143C29,897,2022-09-30,D78E9909,0.0,0.0,2.0,2.0,2.0,2.0,2.0
73BEFA,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5EE7CA,897,2022-09-30,0A8DA31D,0.0,0.0,8.0,8.0,8.0,8.0,8.0
381022,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
135969,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B18EEF,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B18EEF,897,2022-09-30,D78E9909,0.0,0.0,1.0,1.0,1.0,1.0,1.0
C5E5F8,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
F1EE31,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
A38793,897,2022-09-30,E73E4029,8.0,0.0,0.0,0.0,0.0,0.0,0.0
A38793,897,2022-09-30,097DF722,0.0,0.0,8.0,8.0,8.0,8.0,8.0
214B0A,897,2022-09-30,D78E9909,4.0,0.0,0.0,4.0,4.0,4.0,4.0
214B0A,897,2022-09-30,D78E9909,4.0,0.0,0.0,4.0,4.0,4.0,4.0
3BEBCB,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
44AFDA,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
84F1A8,897,2022-09-30,E73E4029,0.0,0.0,7.0,7.0,7.0,7.0,7.0
84F1A8,897,2022-09-30,E73E4029,0.0,0.0,1.0,1.0,1.0,1.0,1.0
F14174,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
736607,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
18884E,897,2022-09-30,097DF722,0.0,0.0,8.0,8.0,8.0,8.0,8.0
18884E,897,2022-09-30,097DF722,0.0,0.0,1.0,0.0,0.0,2.0,0.0
5E425F,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
01BF91,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B771C8,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5D8439,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
4F236B,897,2022-09-30,D119D59B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58072C,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
3AF593,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
26F3FB,897,2022-09-30,E7D54290,0.0,0.0,0.0,0.0,4.0,8.0,8.0
B9359B,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
3D680C,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,0.0
13964D,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
7CE700,897,2022-09-30,097DF722,0.0,0.0,8.0,8.0,8.0,8.0,8.0
FDC695,897,2022-09-30,3B776BE5,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D7051F,897,2022-09-30,3B776BE5,12.0,0.0,8.0,8.0,8.0,8.0,8.0
92CBA0,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5809F1,897,2022-09-30,407FF3F1,0.0,0.0,8.0,8.0,8.0,8.0,8.0
545716,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
982590,897,2022-09-30,E7D54290,0.0,8.0,0.0,0.0,0.0,0.0,0.0
982590,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,8.0,8.0,8.0,8.0,8.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,4.0,4.0,4.0,4.0,4.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,4.0,0.0,0.0,0.0,0.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,4.0,4.0,4.0,4.0,4.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,-4.0,0.0,0.0,0.0,0.0
4C434F,897,2022-09-30,407FF3F1,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C59F9D,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
2A83E7,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D36854,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
1D99C7,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
6ED9F2,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
BA3689,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
9F886A,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
EDA0BB,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
261B60,897,2022-09-30,E73E4029,0.0,0.0,4.0,4.0,4.0,4.0,4.0
261B60,897,2022-09-30,E73E4029,0.0,0.0,4.0,4.0,4.0,4.0,4.0
45C5E3,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
6EE948,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
146344,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C73DC9,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
715496,897,2022-09-30,E73E4029,0.0,8.0,8.0,6.0,6.0,6.0,6.0
6C6130,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C2AC99,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
FEA6C8,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
9C37BF,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5B5FA4,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
361370,897,2022-09-30,D78E9909,8.0,0.0,0.0,8.0,8.0,8.0,8.0
02DA62,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
311C4E,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
BF207B,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
BF207B,897,2022-09-30,D78E9909,0.0,0.0,0.0,4.0,0.0,0.0,0.0
BB9E32,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D79C65,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D8E72F,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D8E72F,897,2022-09-30,D78E9909,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1F89AC,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
088803,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
A88263,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
